"","N","Y","MeanDecreaseAccuracy","MeanDecreaseGini"
"gender",25.97,24.49,37.57,367.63
"cd",32.6,20.34,39.06,654.52
"hd",6.64,33.98,49.34,1255.43
"age",-14.53,60.32,63.81,1797.84
"dbdistance",-22.14,53.22,45.18,1986.26
"vccdistance",-20.5,56.71,47.87,1999.75
"party",80.06,69.03,99.21,1547.38
"racename",13.32,37.31,41.24,936.47
"hsonly",-6.05,76.86,83.75,2323.01
"mrrg",40.88,72.04,109.27,2955.41
"chldprsnt",5.28,49.25,65.91,2185.83
"cath",-9.73,77.5,83.39,2111.13
"evang",-32.57,76.46,81.63,1965.02
"nonchrst",-29.83,67.8,74,2069.88
"otherchrst",-11.46,70.28,75.75,2019.38
"days.since.reg",13.78,55.31,61.16,2243.78
"hd.area",16.54,34.39,46.97,1228.52
"hd.population",19.08,38.37,52.6,1093.54
"hd.density",12.71,32.21,43.74,1170.86
"hd.city",7.13,15.88,19.25,130.52
